2026-03-16 09:20:02 startup archives install
2026-03-16 09:20:02 install base-passwd:arm64 <none> 3.6.1
2026-03-16 09:20:02 status half-installed base-passwd:arm64 3.6.1
2026-03-16 09:20:02 status unpacked base-passwd:arm64 3.6.1
2026-03-16 09:20:02 configure base-passwd:arm64 3.6.1 3.6.1
2026-03-16 09:20:02 status half-configured base-passwd:arm64 3.6.1
2026-03-16 09:20:03 status installed base-passwd:arm64 3.6.1
2026-03-16 09:20:03 startup archives install
2026-03-16 09:20:03 install base-files:arm64 <none> 12.4+deb12u13
2026-03-16 09:20:03 status half-installed base-files:arm64 12.4+deb12u13
2026-03-16 09:20:03 status unpacked base-files:arm64 12.4+deb12u13
2026-03-16 09:20:03 configure base-files:arm64 12.4+deb12u13 12.4+deb12u13
2026-03-16 09:20:03 status half-configured base-files:arm64 12.4+deb12u13
2026-03-16 09:20:04 status installed base-files:arm64 12.4+deb12u13
2026-03-16 09:20:04 startup archives install
2026-03-16 09:20:04 upgrade dpkg 1.21.22 1.21.22
2026-03-16 09:20:04 status half-configured dpkg 1.21.22
2026-03-16 09:20:04 status unpacked dpkg 1.21.22
2026-03-16 09:20:04 status half-installed dpkg 1.21.22
2026-03-16 09:20:05 status unpacked dpkg:arm64 1.21.22
2026-03-16 09:20:05 configure dpkg:arm64 1.21.22 1.21.22
2026-03-16 09:20:05 status half-configured dpkg:arm64 1.21.22
2026-03-16 09:20:06 status installed dpkg:arm64 1.21.22
2026-03-16 09:20:06 startup archives install
2026-03-16 09:20:06 install libc6:arm64 <none> 2.36-9+deb12u13
2026-03-16 09:20:06 status half-installed libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:08 status unpacked libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:08 configure libc6:arm64 2.36-9+deb12u13 2.36-9+deb12u13
2026-03-16 09:20:08 status half-configured libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:09 status installed libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:09 startup archives install
2026-03-16 09:20:09 install perl-base:arm64 <none> 5.36.0-7+deb12u3
2026-03-16 09:20:09 status half-installed perl-base:arm64 5.36.0-7+deb12u3
2026-03-16 09:20:10 status unpacked perl-base:arm64 5.36.0-7+deb12u3
2026-03-16 09:20:10 configure perl-base:arm64 5.36.0-7+deb12u3 5.36.0-7+deb12u3
2026-03-16 09:20:10 status half-configured perl-base:arm64 5.36.0-7+deb12u3
2026-03-16 09:20:10 status installed perl-base:arm64 5.36.0-7+deb12u3
2026-03-16 09:20:10 startup archives install
2026-03-16 09:20:10 install mawk:arm64 <none> 1.3.4.20200120-3.1
2026-03-16 09:20:10 status half-installed mawk:arm64 1.3.4.20200120-3.1
2026-03-16 09:20:10 status unpacked mawk:arm64 1.3.4.20200120-3.1
2026-03-16 09:20:10 configure mawk:arm64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2026-03-16 09:20:10 status half-configured mawk:arm64 1.3.4.20200120-3.1
2026-03-16 09:20:10 status installed mawk:arm64 1.3.4.20200120-3.1
2026-03-16 09:20:10 startup archives unpack
2026-03-16 09:20:10 install adduser:all <none> 3.134
2026-03-16 09:20:10 status half-installed adduser:all 3.134
2026-03-16 09:20:10 status unpacked adduser:all 3.134
2026-03-16 09:20:11 install apt:arm64 <none> 2.6.1
2026-03-16 09:20:11 status half-installed apt:arm64 2.6.1
2026-03-16 09:20:11 status unpacked apt:arm64 2.6.1
2026-03-16 09:20:11 upgrade base-files:arm64 12.4+deb12u13 12.4+deb12u13
2026-03-16 09:20:11 status half-configured base-files:arm64 12.4+deb12u13
2026-03-16 09:20:11 status unpacked base-files:arm64 12.4+deb12u13
2026-03-16 09:20:11 status half-installed base-files:arm64 12.4+deb12u13
2026-03-16 09:20:11 status unpacked base-files:arm64 12.4+deb12u13
2026-03-16 09:20:12 upgrade base-passwd:arm64 3.6.1 3.6.1
2026-03-16 09:20:12 status half-configured base-passwd:arm64 3.6.1
2026-03-16 09:20:12 status unpacked base-passwd:arm64 3.6.1
2026-03-16 09:20:12 status half-installed base-passwd:arm64 3.6.1
2026-03-16 09:20:12 status unpacked base-passwd:arm64 3.6.1
2026-03-16 09:20:12 install bash:arm64 <none> 5.2.15-2+b10
2026-03-16 09:20:12 status half-installed bash:arm64 5.2.15-2+b10
2026-03-16 09:20:12 status unpacked bash:arm64 5.2.15-2+b10
2026-03-16 09:20:12 install bsdutils:arm64 <none> 1:2.38.1-5+deb12u3
2026-03-16 09:20:12 status half-installed bsdutils:arm64 1:2.38.1-5+deb12u3
2026-03-16 09:20:12 status unpacked bsdutils:arm64 1:2.38.1-5+deb12u3
2026-03-16 09:20:13 install coreutils:arm64 <none> 9.1-1
2026-03-16 09:20:13 status half-installed coreutils:arm64 9.1-1
2026-03-16 09:20:13 status unpacked coreutils:arm64 9.1-1
2026-03-16 09:20:14 install dash:arm64 <none> 0.5.12-2
2026-03-16 09:20:14 status half-installed dash:arm64 0.5.12-2
2026-03-16 09:20:14 status unpacked dash:arm64 0.5.12-2
2026-03-16 09:20:14 install debconf:all <none> 1.5.82
2026-03-16 09:20:14 status half-installed debconf:all 1.5.82
2026-03-16 09:20:14 status unpacked debconf:all 1.5.82
2026-03-16 09:20:14 install debian-archive-keyring:all <none> 2023.3+deb12u2
2026-03-16 09:20:14 status half-installed debian-archive-keyring:all 2023.3+deb12u2
2026-03-16 09:20:16 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2026-03-16 09:20:16 install debianutils:arm64 <none> 5.7-0.5~deb12u1
2026-03-16 09:20:16 status half-installed debianutils:arm64 5.7-0.5~deb12u1
2026-03-16 09:20:16 status unpacked debianutils:arm64 5.7-0.5~deb12u1
2026-03-16 09:20:16 install diffutils:arm64 <none> 1:3.8-4
2026-03-16 09:20:16 status half-installed diffutils:arm64 1:3.8-4
2026-03-16 09:20:17 status unpacked diffutils:arm64 1:3.8-4
2026-03-16 09:20:17 upgrade dpkg:arm64 1.21.22 1.21.22
2026-03-16 09:20:17 status half-configured dpkg:arm64 1.21.22
2026-03-16 09:20:17 status unpacked dpkg:arm64 1.21.22
2026-03-16 09:20:17 status half-installed dpkg:arm64 1.21.22
2026-03-16 09:20:17 status unpacked dpkg:arm64 1.21.22
2026-03-16 09:20:17 install e2fsprogs:arm64 <none> 1.47.0-2+b2
2026-03-16 09:20:17 status half-installed e2fsprogs:arm64 1.47.0-2+b2
2026-03-16 09:20:18 status unpacked e2fsprogs:arm64 1.47.0-2+b2
2026-03-16 09:20:18 install findutils:arm64 <none> 4.9.0-4
2026-03-16 09:20:18 status half-installed findutils:arm64 4.9.0-4
2026-03-16 09:20:18 status unpacked findutils:arm64 4.9.0-4
2026-03-16 09:20:18 install gcc-12-base:arm64 <none> 12.2.0-14+deb12u1
2026-03-16 09:20:18 status half-installed gcc-12-base:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:18 status unpacked gcc-12-base:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:18 install gpgv:arm64 <none> 2.2.40-1.1+deb12u2
2026-03-16 09:20:18 status half-installed gpgv:arm64 2.2.40-1.1+deb12u2
2026-03-16 09:20:18 status unpacked gpgv:arm64 2.2.40-1.1+deb12u2
2026-03-16 09:20:18 install grep:arm64 <none> 3.8-5
2026-03-16 09:20:18 status half-installed grep:arm64 3.8-5
2026-03-16 09:20:19 status unpacked grep:arm64 3.8-5
2026-03-16 09:20:19 install gzip:arm64 <none> 1.12-1
2026-03-16 09:20:19 status half-installed gzip:arm64 1.12-1
2026-03-16 09:20:19 status unpacked gzip:arm64 1.12-1
2026-03-16 09:20:19 install hostname:arm64 <none> 3.23+nmu1
2026-03-16 09:20:19 status half-installed hostname:arm64 3.23+nmu1
2026-03-16 09:20:19 status unpacked hostname:arm64 3.23+nmu1
2026-03-16 09:20:19 install init-system-helpers:all <none> 1.65.2+deb12u1
2026-03-16 09:20:19 status half-installed init-system-helpers:all 1.65.2+deb12u1
2026-03-16 09:20:19 status unpacked init-system-helpers:all 1.65.2+deb12u1
2026-03-16 09:20:19 install libacl1:arm64 <none> 2.3.1-3
2026-03-16 09:20:19 status half-installed libacl1:arm64 2.3.1-3
2026-03-16 09:20:19 status unpacked libacl1:arm64 2.3.1-3
2026-03-16 09:20:19 install libapt-pkg6.0:arm64 <none> 2.6.1
2026-03-16 09:20:19 status half-installed libapt-pkg6.0:arm64 2.6.1
2026-03-16 09:20:20 status unpacked libapt-pkg6.0:arm64 2.6.1
2026-03-16 09:20:20 install libattr1:arm64 <none> 1:2.5.1-4
2026-03-16 09:20:20 status half-installed libattr1:arm64 1:2.5.1-4
2026-03-16 09:20:20 status unpacked libattr1:arm64 1:2.5.1-4
2026-03-16 09:20:20 install libaudit-common:all <none> 1:3.0.9-1
2026-03-16 09:20:20 status half-installed libaudit-common:all 1:3.0.9-1
2026-03-16 09:20:20 status unpacked libaudit-common:all 1:3.0.9-1
2026-03-16 09:20:20 install libaudit1:arm64 <none> 1:3.0.9-1
2026-03-16 09:20:20 status half-installed libaudit1:arm64 1:3.0.9-1
2026-03-16 09:20:20 status unpacked libaudit1:arm64 1:3.0.9-1
2026-03-16 09:20:20 install libblkid1:arm64 <none> 2.38.1-5+deb12u3
2026-03-16 09:20:20 status half-installed libblkid1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:21 status unpacked libblkid1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:21 install libbz2-1.0:arm64 <none> 1.0.8-5+b1
2026-03-16 09:20:21 status half-installed libbz2-1.0:arm64 1.0.8-5+b1
2026-03-16 09:20:21 status unpacked libbz2-1.0:arm64 1.0.8-5+b1
2026-03-16 09:20:21 install libc-bin:arm64 <none> 2.36-9+deb12u13
2026-03-16 09:20:21 status half-installed libc-bin:arm64 2.36-9+deb12u13
2026-03-16 09:20:21 status unpacked libc-bin:arm64 2.36-9+deb12u13
2026-03-16 09:20:21 upgrade libc6:arm64 2.36-9+deb12u13 2.36-9+deb12u13
2026-03-16 09:20:21 status half-configured libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:21 status unpacked libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:21 status half-installed libc6:arm64 2.36-9+deb12u13
